Stage,Item,Inventory Selection,Location,Amount,Unit,Database,UUID,Brightway Match Code,Brightway Match Name,Material Group,Tally Material Group,Life Cycle Stage,Description
A1-A3,Glazing - other,,United States,448.890672,kg,ecoinvent-3.12-cutoff,0d477376-aa7c-5663-89a6-a85a41870bfd,3d664a5b7b62e92dee3835b2c8af38dd,Glazing - other,Glazing,Glazing,A1-A3,"Other types of glazing or associated components/materials that could not be classified with mat_type, including flat glass panes and processed glass such as coated, laminated, tempered, etc. (Excludes IGUs) | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Insulated glass unit IGU,,United States,5928.257124,kg,ecoinvent-3.12-cutoff,8d7bb208-3fc2-5110-af59-cecbad36ac6a,2b898e4b675d9ea79d9d7308e1bd7b80,Insulated glass unit IGU,Glazing,Glazing,A1-A3,"Includes multiple glass panes, spacer(s), desiccant, sealants, and any interlayer materials. Excludes window frames. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Glass mat gypsum board,,United States,6315.090047,kg,ecoinvent-3.12-cutoff,df7620e1-bbd9-5246-af6b-e5020da39670,a66d7df5b24e0c76c2fa4873be4c06b4,Glass mat gypsum board,Gypsum,Plaster,A1-A3,"Non-combustible gypsum core with glass-mat surface on each side. Includes various thicknesses, types, and applications. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Gypsum board,,United States,95235.360394,kg,ecoinvent-3.12-cutoff,632161d3-c165-5334-9ebe-6c0c5bacafdf,1b3c38e902bbf524e6597f71aee4cda2,Gypsum board,Gypsum,Plaster,A1-A3,"standard gypsum board, excluding glass-mat products. Includes various thicknesses, types, and applications  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Extruded polystyrene XPS,,United States,12947.108937,kg,ecoinvent-3.12-cutoff,4674ffbc-e461-5592-a4fc-80a6de0b2de2,065350adceb46205fbaa931c057ba534,Extruded polystyrene XPS,Insulation,Insulation,A1-A3,Extruded polystyrene closed-cell foam board insulation; conventional HFC- and/or lower-GWP blowing agent | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Fiberglass blanket,,United States,2267.968248,kg,ecoinvent-3.12-cutoff,dca46a80-e6f1-589c-83df-4d9450b6a258,9299ec7c27a6c841a110c7d61a48aa8f,Fiberglass blanket,Insulation,Insulation,A1-A3,Flexible insulating fiberglass batts or rolls. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Other,,United States,90.10798,kg,ecoinvent-3.12-cutoff,77ddbf08-b365-577a-9bdd-eb9354fb8a4f,1a837ee3849f066588a38aba19d15a60,Other,Other,Metal,A1-A3,All other products and materials that could not be otherwise classified and which represent less than 5% of the project's total mass and embodied carbon intensity.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Fasteners,,United States,498.80357,kg,ecoinvent-3.12-cutoff,8f246128-096d-5ecd-9e33-0ee086c42583,9df8c1cd1bb8ed544886078e8a063b65,Fasteners,Other metals,Metal,A1-A3,Various metalic fasteners | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Roofing and waterproofing - other,,United States,1530.236226,kg,ecoinvent-3.12-cutoff,f404acb5-8ce5-53f9-86f0-608b65e2a593,6075bf87888355533444f10c70614b2e,Roofing and waterproofing - other,Roofing and waterproofing,Vapor barrier,A1-A3,Other roofing and waterproofing or associated componentents/materials that could not be classified with mat_type | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,TPO,,United States,3394.9864,kg,ecoinvent-3.12-cutoff,47e06310-2949-52ae-a4c2-73fa4a4ebb28,7c97486978bf8a18d3410a4387dde7fa,TPO,Roofing and waterproofing,Roofing membrane,A1-A3,"Thermoplastic polyolefin (TPO) single-ply roof membranes. Various sizes, thicknesses, reinforcings, backings, and performances.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Cold formed steel framing,,United States,8862.837351,kg,ecoinvent-3.12-cutoff,5928ad0d-b48d-5407-aaf4-959c5b3b12d3,d946184d3ac739a06d3569c72215c006,Cold formed steel framing,Steel,Metal,A1-A3,Cold-formed steel shapes for light framing such as studs and track. Galvanized or ungalvinzed. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Decking,,United States,30046.739979,kg,ecoinvent-3.12-cutoff,9c357101-86a4-5253-b5f2-a4090d520efe,2b05e130f9528f7bc801722ad81d580c,Decking,Steel,Metal,A1-A3,Steel decking for floors and roofs. Includes range of surface treatments (galvanized or uncoated steel to which paint may be applied) and thickness/gauge. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Hollow structural sections HSS,,United States,6609.570383,kg,ecoinvent-3.12-cutoff,7236960a-88a6-54eb-a9fc-4a752efe2e95,2ee13f6617aecabf154337a5789fd1b5,Hollow structural sections HSS,Steel,Metal,A1-A3,Hollow structural sections. Fabricated or unfabricated. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Hot-rolled sections,,United States,97543.517416,kg,ecoinvent-3.12-cutoff,4bdc4163-9b0c-5e72-96ae-d0934c28e1f1,3f8a3b1045a035181828b02f82b4e139,Hot-rolled sections,Steel,Metal,A1-A3,Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Plate,,United States,912.46822,kg,ecoinvent-3.12-cutoff,8ac1cad0-18e7-5ad7-abe7-d2cde6924276,23e9c18e787efa0cb9e54d1bae4381ce,Plate,Steel,Metal,A1-A3,"Flat steel products (generally thicker than 1/4"") for structural appliations. Fabricated or unfabricated. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Rebar and reinforcement,,United States,22542.87622,kg,ecoinvent-3.12-cutoff,3b3fce52-8518-5f91-8afc-c59d3fd56f9f,9f0b0e654079fbac0e2c476547c62d6e,Rebar and reinforcement,Steel,Metal,A1-A3,"Steel reinforcement bars, including plain carbon steel and low-alloy steel of multiple grades and sizes for concrete and masonry reinforcement applications. Fabricated or unfabricated. Also includes other steel wire and steel mesh products.   | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Steel - other,,United States,801.157572,kg,ecoinvent-3.12-cutoff,0a9fad5a-c0ee-527d-a364-5ad5ae95c45c,d2a421d9e55aabc0489d5745b056ae68,Steel - other,Steel,Metal,A1-A3,Other types of steel or associated components/materials that could not be classified with mat_type. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Wall coverings,,United States,9.075161,kg,ecoinvent-3.12-cutoff,d9b39671-2352-5dfd-8fd7-3887cdbd9776,475c0bef26cb472c618b8f7be59aa64a,Wall coverings,Wall coverings,Wall coverings,A1-A3,"Various wall coverings. Primarily composed of textile and vinyl coverings, wallpaper, and miscelaneous trim | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3."
A1-A3,Aluminum framed window,,United States,16.130016,kg,ecoinvent-3.12-cutoff,27174349-1c7d-561f-95dd-c70240f43345,ae450266a237681f18ec5a4e35a5dd49,Aluminum framed window,Windows and frames,Window frame,A1-A3,Aluminum windows and frames. Various. Typically inclusive of hardware | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Steel framed window,,United States,5.574182,kg,ecoinvent-3.12-cutoff,f79b4d0e-3cdd-5e6e-97d5-7e04e30afd28,9f0b0e654079fbac0e2c476547c62d6e,Steel framed window,Windows and frames,Opening hardware,A1-A3,Steel windows and frames. Various. Typically inclusive of hardware | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Softwood framing,,United States,783.360469,kg,ecoinvent-3.12-cutoff,0d18314e-e55e-542d-b751-dbd081b07d1e,800d9d5c9b202beac263c956ffe0ec3e,Softwood framing,Wood and composites,Wood,A1-A3,Dimensional softwood framing lumber. Excludes heavy timber  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Softwood plywood,,United States,6268.152242,kg,ecoinvent-3.12-cutoff,3d6ae3be-c205-5d71-ab34-f7f2d506e49a,10996c05033da28835d36bb60d005a08,Softwood plywood,Wood and composites,Wood,A1-A3,Various thicknesses of softwood plywood for interior or exterior applications. Typically exclusive of hardwood veneers. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A1-A3,Wood and composites - other,,United States,2496.513437,kg,ecoinvent-3.12-cutoff,3b26c27b-967c-5c5d-945e-85204f4ce01d,6d0ddf0ae3c8812e3edf2e2f9ff2d2de,Wood and composites - other,Wood and composites,Wood,A1-A3,Other types of wood and composites or associated components/materials that could not be confidently with mat_type | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A1-A3.
A4,Acoustic ceiling tile fiber,,United States,0.0,kg,ecoinvent-3.12-cutoff,9bd8151b-f873-5154-ace9-e92c0575a513,94d28cb7518244233ce4c524f4ed31b9,Acoustic ceiling tile fiber,Acoustic ceilings,Ceiling tile,A4,"Fiber-based acoustic ceiling tiles. Various thicknesses, compositions, finishes, and NRC/CAC ratings | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Suspension assembly,,United States,0.0,kg,ecoinvent-3.12-cutoff,0d9694e5-6d84-5945-9fad-cfb761a1338c,d6418d3ed7ed3b7e7f5f809823204e52,Suspension assembly,Acoustic ceilings,Ceiling tile,A4,"Steel suspension assemblies for acoustic ceiling tiles. Typically includes tracks, grids, and profile assemblies without associated hangers or hardware. Galvanized or ungalvanized and various finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Adhesives and sealants,,United States,0.0,kg,ecoinvent-3.12-cutoff,d8458504-9aae-5453-b100-a33a8cad5db7,a4ec8071e006ee25b9f8e9082cb09dc3,Adhesives and sealants,Adhesives and sealants,Adhesive / Sealant,A4,Various adhesives and sealants | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Air and vapor barriers,,United States,0.0,kg,ecoinvent-3.12-cutoff,92f6d433-6657-59df-8718-cd2c591e5707,ec2c8a687ca0a75644b4b09569b99d87,Air and vapor barriers,Air and vapor barriers,Vapor barrier,A4,Various air and vapor barriers | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Extrusion,,United States,0.0,kg,ecoinvent-3.12-cutoff,17c95275-d294-55d6-8734-223b3b4f96cd,0f4a29836737c959f23373b5dc59d6d9,Extrusion,Aluminum,Metal,A4,"Standard and/or thermally improved aluminum extrusions for various applications. Inclusive of finish where applicable (mill, painted, anodized, etc.). May include manufacturing inputs to storefront/curtain wall systems listed in Windows and frames.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Roll formed metal panel steel,,United States,0.0,kg,ecoinvent-3.12-cutoff,1e7b4f6b-f220-5b4e-b707-9468235d3757,9f0b0e654079fbac0e2c476547c62d6e,Roll formed metal panel steel,Cladding,Metal,A4,Roll-formed steel cladding panel such as standing seam or box rib; Various thickness and coatings | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Stucco finish,,United States,0.0,kg,ecoinvent-3.12-cutoff,ac25048b-4d8d-5887-ab5f-db6fb6d053b0,62b61f40fecd0b445617b16f24cd6be5,Stucco finish,Cladding,Wall coverings,A4,Portland cement based or synthetic stucco. Excludes insulation for EIFS systems.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Coatings - other,,United States,0.0,kg,ecoinvent-3.12-cutoff,8a3fa291-601e-5670-a605-fb50002a67b8,1a837ee3849f066588a38aba19d15a60,Coatings - other,Coatings,Metal Coating,A4,All other coatings for various surfaces and functions that could not be classified with a mat_type | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Paint,,United States,0.0,kg,ecoinvent-3.12-cutoff,07ca78ac-4c8b-53b8-9db7-227bd605f9ec,b3252a77c4dce9e3f8fedbde431c7b81,Paint,Coatings,Coating,A4,Interior and exterior paints for surface decoration and/or protection. Various applications and chemical compositions.   | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,GFRC general,,United States,0.0,kg,ecoinvent-3.12-cutoff,a8ba4a3f-d5c8-5dd8-b64d-73e63c4ca12b,f40a6d016d02c4406339fb51095c11d2,GFRC general,Concrete,Concrete,A4,"General glass fiber reinforced concrete products. Various shapes, sizes, strengths, applications, and finishes. Excludes GFRC cladding panels which are reported separately.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Precast,,United States,0.0,kg,ecoinvent-3.12-cutoff,5b7c1689-f156-5166-b4b4-470cb702e1c6,9d5f671f91d687a958b4a1943aa3d3b9,Precast,Concrete,Concrete,A4,"Precast concrete products. Various strengths, mix designs, and applications. May contain reinforcing when LCA modeler selected an EPD that reflects multiple materials.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Ready mix NW 3000,,United States,0.0,kg,ecoinvent-3.12-cutoff,38c62463-f95d-575d-8e98-3d9454e31cd1,ff1cf2621f46e527d86a91f791410eff,Ready mix NW 3000,Concrete,Concrete,A4,Normal weight ready mix concrete. 3000 PSI. Exclusive of reinforcing. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Aluminum door,,United States,0.0,kg,ecoinvent-3.12-cutoff,257cd697-3e46-5a51-b605-e327cb5207ba,6f5cf8c1a9792d83c896986c05a1560d,Aluminum door,Doors and frames,Door,A4,"Aluminum doors mainly for exterior applications of various sizes, cores, insulating properties, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Aluminum door frame,,United States,0.0,kg,ecoinvent-3.12-cutoff,9cd069f9-4c73-5846-b60f-9787811400b8,6f5cf8c1a9792d83c896986c05a1560d,Aluminum door frame,Doors and frames,Door frame,A4,Aluminum door frames. Various. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Doors and frames - other,,United States,0.0,kg,ecoinvent-3.12-cutoff,c8c4e963-f018-59a9-9ce1-d37e9a6c0851,6075bf87888355533444f10c70614b2e,Doors and frames - other,Doors and frames,Glazing,A4,"Other doors and frames or associated components/materials such as hardware, finishes, and specialties that could not be classified with mat_type  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Doors and frames - other,,United States,0.0,kg,ecoinvent-3.12-cutoff,6f66f299-9f6e-5d6f-add2-67de0704204a,6075bf87888355533444f10c70614b2e,Doors and frames - other,Doors and frames,Opening hardware,A4,"Other doors and frames or associated components/materials such as hardware, finishes, and specialties that could not be classified with mat_type  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Steel door,,United States,0.0,kg,ecoinvent-3.12-cutoff,f03ccbef-452c-5d57-9b1f-940a260e6339,9f0b0e654079fbac0e2c476547c62d6e,Steel door,Doors and frames,Door,A4,"Steel doors, interior or exterior applications. Various sizes, cores, gauges, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Steel door frame,,United States,0.0,kg,ecoinvent-3.12-cutoff,8a0a047d-cac5-568a-a299-7fc451b37596,9f0b0e654079fbac0e2c476547c62d6e,Steel door frame,Doors and frames,Door frame,A4,Steel door frames. Various | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Wood or composite door,,United States,0.0,kg,ecoinvent-3.12-cutoff,4e3748ff-6fb1-52af-9315-b01fc943cd86,b9788e7d42c3eb3c6a0cc42c9c8fab6a,Wood or composite door,Doors and frames,Door,A4,"Wood or wood composite doors for interior or exterior applications. Various cores, species, and finishes.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Glazing - other,,United States,0.0,kg,ecoinvent-3.12-cutoff,5d3ca838-580a-5837-a22d-a664b2da6002,3d664a5b7b62e92dee3835b2c8af38dd,Glazing - other,Glazing,Glazing,A4,"Other types of glazing or associated components/materials that could not be classified with mat_type, including flat glass panes and processed glass such as coated, laminated, tempered, etc. (Excludes IGUs) | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Insulated glass unit IGU,,United States,0.0,kg,ecoinvent-3.12-cutoff,549e9689-03a2-5fd1-ac81-4c9fee415878,2b898e4b675d9ea79d9d7308e1bd7b80,Insulated glass unit IGU,Glazing,Glazing,A4,"Includes multiple glass panes, spacer(s), desiccant, sealants, and any interlayer materials. Excludes window frames. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Glass mat gypsum board,,United States,0.0,kg,ecoinvent-3.12-cutoff,71274f94-5919-5c2c-bb32-19684dd6a212,a66d7df5b24e0c76c2fa4873be4c06b4,Glass mat gypsum board,Gypsum,Plaster,A4,"Non-combustible gypsum core with glass-mat surface on each side. Includes various thicknesses, types, and applications. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Gypsum board,,United States,0.0,kg,ecoinvent-3.12-cutoff,3c75c56f-a796-5892-b56b-f27917a64e04,1b3c38e902bbf524e6597f71aee4cda2,Gypsum board,Gypsum,Plaster,A4,"standard gypsum board, excluding glass-mat products. Includes various thicknesses, types, and applications  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4."
A4,Extruded polystyrene XPS,,United States,0.0,kg,ecoinvent-3.12-cutoff,c8185f54-f3c4-51ab-a0cf-6432000ba83e,065350adceb46205fbaa931c057ba534,Extruded polystyrene XPS,Insulation,Insulation,A4,Extruded polystyrene closed-cell foam board insulation; conventional HFC- and/or lower-GWP blowing agent | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Fiberglass blanket,,United States,0.0,kg,ecoinvent-3.12-cutoff,751b5901-c08a-57fe-b015-a61709ac7853,9299ec7c27a6c841a110c7d61a48aa8f,Fiberglass blanket,Insulation,Insulation,A4,Flexible insulating fiberglass batts or rolls. | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Other,,United States,0.0,kg,ecoinvent-3.12-cutoff,43d745fa-d34a-524a-8aaa-13af81a71e98,1a837ee3849f066588a38aba19d15a60,Other,Other,Metal,A4,All other products and materials that could not be otherwise classified and which represent less than 5% of the project's total mass and embodied carbon intensity.  | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Fasteners,,United States,0.0,kg,ecoinvent-3.12-cutoff,a2bb204b-57fe-5851-8f81-ab26f194e5bc,9df8c1cd1bb8ed544886078e8a063b65,Fasteners,Other metals,Metal,A4,Various metalic fasteners | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
A4,Roofing and waterproofing - other,,United States,0.0,kg,ecoinvent-3.12-cutoff,8d4c4f3a-a4b7-5f73-8628-be538a368310,6075bf87888355533444f10c70614b2e,Roofing and waterproofing - other,Roofing and waterproofing,Vapor barrier,A4,Other roofing and waterproofing or associated componentents/materials that could not be classified with mat_type | Embodied materials from Building 59 full_lca dataset; no operational energy/power exchanges. Source stage: A4.
